UIDClient,UIDStoreLocation,Gender,DateJoined,DaysSinceJoined,MembershipType,MembershipLevel,Age,UVTans,SunlessTans,UpgradeRevenue,RetailRevenue
057256,0003,0,10/2/2010,1491,1,2,37,16,0,0,25.01
057581,0003,0,3/10/2010,1697,1,3,53,66,0,15,291.73
057734,0003,0,6/17/2006,3059,1,4,58,69,0,0,374.36
057748,0003,0,4/12/2008,2394,1,1,38,32,6,0,39.95
057878,0003,0,3/6/2012,970,1,4,19,21,2,0,133.46
058005,0003,0,2/14/2011,1356,1,1,29,20,0,0,150.35
058104,0003,0,4/5/2012,940,1,3,29,25,0,0,7.98
058402,0003,1,7/2/2011,1218,1,3,56,28,0,0,8.78
058434,0003,0,3/14/2007,2789,1,1,23,21,0,0,15.26
058463,0003,1,8/25/2007,2625,1,2,52,58,4,0,45.56
058844,0003,0,4/26/2006,3111,1,1,29,12,0,0,49.88
059291,0003,1,4/20/2007,2752,1,1,24,14,0,0,0.00
059775,0003,0,4/24/2008,2382,1,1,25,19,0,5,57.09
059912,0003,0,3/1/2012,975,1,2,15,12,1,0,20.16
060045,0003,0,4/29/2011,1282,1,1,33,7,5,1,67.10
060118,0003,0,5/4/2002,4564,1,2,26,28,0,72,229.43
060673,0003,0,6/11/2004,3795,1,1,29,14,0,0,72.38
060707,0003,0,3/26/2002,4603,1,2,41,101,0,25,188.67
060914,0003,0,3/25/2007,2778,1,2,20,108,0,56,74.87
060930,0003,0,4/30/2009,2011,1,4,56,28,176,10,103.72
061048,0003,0,2/27/2005,3534,1,1,52,62,1,152,26.79
061201,0003,0,4/21/2005,3481,1,1,53,37,3,27,86.98
061290,0003,0,2/28/2005,3533,1,1,49,82,0,5,53.08
061317,0003,0,4/11/2011,1300,1,1,22,78,2,1,45.64
061937,0003,1,2/16/2010,1719,1,2,62,237,0,0,12.39
062054,0003,0,3/11/2010,1696,1,1,60,13,0,0,28.63
062135,0003,0,2/20/2004,3907,1,4,43,11,0,0,66.19
062205,0003,0,12/10/2010,1422,1,3,52,88,0,15,10.04
062383,0003,1,3/22/2011,1320,1,1,35,27,0,0,38.48
062565,0003,0,6/1/2012,883,1,2,20,9,0,0,4.79
062867,0003,0,3/20/2010,1687,1,1,18,98,0,12,81.23
063011,0003,0,5/22/2011,1259,1,1,15,44,2,20,110.92
063378,0003,0,2/13/2012,992,1,2,26,23,5,40,19.30
063493,0003,1,4/27/2008,2379,1,2,25,3,0,10,69.27
063581,0003,0,5/10/2004,3827,1,2,29,51,0,35,106.39
063622,0003,0,4/6/2010,1670,1,1,40,0,15,0,38.14
063698,0003,0,3/1/2006,3167,1,1,28,25,0,8,46.78
063799,0003,1,7/18/2005,3393,1,4,43,17,0,0,67.57
063861,0003,1,4/4/2011,1307,1,1,22,8,0,0,5.99
063964,0003,0,5/12/2011,1269,1,4,25,4,3,0,106.20
063967,0003,0,8/10/2005,3370,1,4,31,139,10,13,122.72
064737,0003,0,10/26/2012,736,1,1,49,34,0,0,25.40
065014,0003,0,8/27/2008,2257,1,1,24,71,0,98,155.20
065159,0003,1,1/14/2004,3944,1,3,38,397,0,0,11.18
065319,0003,0,1/7/2004,3951,1,4,27,36,25,0,100.97
065531,0003,0,4/7/2008,2399,1,1,23,53,1,55,75.47
065564,0003,0,5/26/2011,1255,1,1,32,5,0,12,40.37
066185,0003,0,4/4/2011,1307,1,1,45,71,0,0,35.78
066317,0003,0,9/12/2004,3702,1,2,28,12,4,0,31.17
066754,0003,1,4/27/2012,918,1,2,48,107,0,42,332.84
066881,0003,0,4/26/2006,3111,1,2,20,63,0,9,36.25
067194,0003,0,9/24/2007,2595,1,1,28,11,1,8,44.78
067427,0003,0,10/17/2004,3667,1,1,38,0,125,0,16.39
067458,0003,1,7/15/2005,3396,1,1,38,31,0,5,32.13
067621,0003,1,12/31/2005,3227,1,1,29,7,5,20,0.00
067706,0003,0,11/1/2008,2191,1,3,18,61,3,42,7.54
067766,0003,0,5/16/2003,4187,1,1,57,4,0,0,72.92
068088,0003,0,5/26/2008,2350,1,2,26,91,0,20,205.71
068109,0003,0,2/19/2011,1351,1,1,22,98,19,138,476.55
068434,0003,0,3/12/2004,3886,1,3,37,24,0,0,71.97
068692,0003,0,3/12/2012,964,1,1,18,10,0,0,2.39
068719,0003,0,3/26/2011,1316,1,4,22,0,11,15,69.64
069372,0003,1,3/19/2009,2053,1,1,27,24,6,40,21.27
069753,0003,0,3/20/2010,1687,1,2,23,78,1,22,0.00
069775,0003,0,5/13/2005,3459,1,4,28,14,17,10,83.69
069834,0003,0,12/22/2005,3236,1,1,23,306,0,135,238.87
069956,0003,0,2/10/2008,2456,1,1,25,50,9,45,77.43
070019,0003,0,2/7/2012,998,1,1,44,19,0,0,121.44
070022,0003,0,7/29/2005,3382,1,4,36,0,13,40,39.97
070276,0003,0,11/29/2009,1798,1,1,19,4,1,8,23.99
070398,0003,0,4/9/2005,3493,1,1,53,173,0,58,20.24
071847,0003,0,2/2/2004,3925,1,3,33,19,0,0,44.80
072198,0003,0,5/22/2010,1624,1,1,58,0,39,0,38.22
072267,0003,0,7/30/2012,824,1,2,47,19,0,0,22.35
072327,0003,0,12/27/2001,4692,1,1,32,14,14,40,6.91
072396,0003,0,2/14/2002,4643,1,2,39,19,0,0,181.55
072768,0003,0,4/24/2005,3478,1,3,48,16,0,0,0.00
072811,0003,0,3/13/2011,1329,1,1,17,50,1,68,4.94
072966,0003,0,12/15/2011,1052,1,1,17,22,0,20,19.99
073999,0003,1,6/4/2011,1246,1,1,28,26,0,31,2.95
074231,0003,0,6/15/2012,869,1,4,27,8,1,0,130.90
074339,0003,0,1/13/2013,657,1,1,18,25,0,0,6.00
074504,0003,0,3/16/2003,4248,1,3,58,66,0,0,194.55
074679,0003,1,6/29/2012,855,1,1,31,1,0,0,45.78
074739,0003,0,8/31/2010,1523,1,1,25,42,14,55,46.53
074843,0003,#NULL!,3/17/2003,4247,1,2,29,10,0,0,59.99
075088,0003,0,3/21/2007,2782,1,2,35,5,1,0,13.18
076120,0003,0,3/18/2003,4246,1,4,48,14,0,0,58.42
076272,0003,0,11/20/2004,3633,1,2,38,148,11,39,831.95
076279,0003,0,4/25/2013,555,1,2,29,5,0,0,30.38
076458,0003,0,6/9/2004,3797,1,1,53,21,0,45,10.00
076963,0003,1,12/15/2005,3243,1,1,50,43,0,20,37.34
077245,0003,1,3/14/2009,2058,1,4,54,364,0,0,2539.20
077347,0003,0,9/18/2002,4427,1,1,52,0,132,1255,165.65
077440,0003,0,12/20/2010,1412,1,1,26,10,0,0,0.47
077472,0003,0,2/22/2008,2444,1,4,28,44,16,30,129.75
077530,0003,0,6/26/2001,4876,1,1,35,56,6,35,151.47
077663,0003,0,3/4/2008,2433,1,4,20,21,1,0,84.51
077682,0003,0,3/13/2012,963,1,1,31,6,8,0,65.62
077709,0003,0,3/18/2012,958,1,4,37,19,22,42,84.52
077751,0003,0,7/9/2009,1941,1,4,36,33,1,0,20.57
077921,0003,0,2/6/2012,999,1,1,30,11,1,5,58.11
077952,0003,1,9/12/2001,4798,1,1,31,78,0,0,234.40
078100,0003,1,1/5/2005,3587,1,3,26,127,0,21,180.55
078129,0003,0,3/29/2012,947,1,3,20,12,0,0,53.22
078217,0003,0,3/7/2011,1335,1,1,29,19,0,10,0.00
078367,0003,0,3/11/2012,965,1,1,16,24,2,0,62.21
078736,0003,1,1/24/2012,1012,1,1,68,30,1,0,0.49
079647,0003,0,12/29/2010,1403,1,1,23,23,0,42,93.94
079849,0003,0,4/2/2007,2770,1,2,36,11,0,2,38.19
079866,0003,0,2/24/2006,3172,1,1,49,35,5,25,96.27
079911,0003,0,3/15/2003,4249,1,1,28,9,0,0,0.82
080155,0003,1,2/8/2011,1362,1,4,27,32,8,15,236.65
080321,0003,0,12/1/2008,2161,1,1,23,29,0,1,36.56
081145,0003,0,4/18/2012,927,1,4,19,5,2,0,97.53
081494,0003,0,7/20/2008,2295,1,2,58,41,1,0,2.39
081978,0003,0,2/12/2009,2088,1,1,36,10,0,0,12.78
082131,0003,0,3/8/2012,968,1,1,18,12,0,0,2.39
082189,0003,0,1/7/2004,3951,1,1,58,14,0,0,0.00
082524,0003,0,2/1/2000,5387,1,4,47,119,19,0,213.15
082649,0003,0,4/27/2006,3110,1,2,41,34,0,0,173.56
083010,0003,0,2/3/2011,1367,1,2,26,6,0,0,4.79
083022,0003,0,4/30/2013,550,1,1,42,16,0,0,9.82
083043,0003,0,11/25/2007,2533,1,2,40,7,0,10,1.99
083333,0003,0,4/18/2007,2754,1,1,28,30,10,10,156.70
083433,0003,0,2/18/2013,621,1,1,19,15,0,0,16.42
084081,0003,0,4/22/2005,3480,1,4,47,16,13,5,99.62
084138,0003,0,3/29/2013,582,1,1,38,1,0,0,26.38
084503,0003,1,2/19/2012,986,1,1,21,10,0,0,13.42
084539,0003,0,3/16/2011,1326,1,3,35,6,1,0,24.35
084756,0003,0,4/14/2012,931,1,1,65,22,4,15,4.39
084767,0003,0,9/25/2005,3324,1,1,34,8,0,0,15.00
085377,0003,0,7/27/2011,1193,1,1,29,12,0,0,0.00
085574,0003,0,7/17/2005,3394,1,1,25,151,9,42,92.19
085595,0003,0,2/5/2005,3556,1,1,29,17,3,15,61.66
085662,0003,0,9/20/2010,1503,1,1,21,37,0,35,100.87
085696,0003,0,12/10/2012,691,1,1,24,17,2,8,10.23
085864,0003,0,2/26/2011,1344,1,1,17,16,7,0,64.56
086039,0003,0,3/27/2013,584,1,1,45,18,0,0,12.38
086730,0003,0,12/13/2011,1054,1,2,24,27,1,25,25.55
086889,0003,0,7/8/2001,4864,1,1,56,103,23,353,126.76
086958,0003,0,3/5/2009,2067,1,3,32,55,0,0,80.49
087136,0003,0,1/17/2006,3210,1,2,29,129,0,68,295.40
087223,0003,0,11/8/2010,1454,1,1,27,33,12,82,27.93
087226,0003,0,11/17/2011,1080,1,1,25,43,3,32,117.32
087418,0003,1,4/28/2012,917,1,1,20,4,0,0,2.39
087517,0003,0,4/5/2009,2036,1,1,57,0,6,0,32.99
087616,0003,1,3/31/2005,3502,1,1,49,141,0,13,143.95
087717,0003,0,11/10/2012,721,1,1,43,19,1,8,35.11
088283,0003,0,2/19/2009,2081,1,1,30,94,0,0,172.93
088340,0003,0,2/8/2008,2458,1,1,27,11,0,0,3.54
088585,0003,1,7/13/2011,1207,1,1,23,40,0,3,42.36
088685,0003,0,9/1/2001,4809,1,1,61,0,22,0,271.38
089503,0003,0,1/19/2008,2478,1,1,22,16,4,8,107.05
089745,0003,0,5/18/2004,3819,1,1,32,54,0,80,46.78
089952,0003,0,3/19/2002,4610,1,1,54,13,2,5,9.99
090031,0003,0,2/10/2006,3186,1,1,25,0,33,0,29.02
090149,0003,1,9/15/2008,2238,1,2,25,29,0,0,4.42
090238,0003,1,5/19/2012,896,1,2,47,146,1,8,171.76
090247,0003,0,8/25/2011,1164,1,1,26,24,0,2,37.26
090508,0003,0,3/6/2004,3892,1,2,31,8,3,15,16.83
090569,0003,0,3/29/2004,3869,1,1,29,3,0,0,5.59
090699,0003,0,3/29/2010,1678,1,1,25,15,0,0,129.32
091136,0003,0,3/23/2011,1319,1,1,28,25,0,10,49.88
091245,0003,0,4/5/2006,3132,1,1,40,34,4,20,17.31
091368,0003,0,12/19/2011,1048,1,1,26,49,34,15,17.71
091536,0003,1,4/6/2007,2766,1,1,54,96,0,0,2.12
091562,0003,0,3/13/2011,1329,1,1,27,8,0,0,12.78
091594,0003,0,4/8/2007,2764,1,1,48,13,0,12,59.30
092058,0003,0,4/19/2009,2022,1,4,54,2,26,0,105.66
092146,0003,0,1/5/2010,1761,1,1,27,4,3,5,13.48
092299,0003,1,3/1/2011,1341,1,1,20,11,0,0,5.59
092553,0003,0,2/16/2010,1719,1,4,35,19,0,0,125.34
092719,0003,0,12/26/2011,1041,1,1,24,55,1,0,27.01
092785,0003,0,11/30/2001,4719,1,4,25,130,0,41,20.00
092812,0003,0,3/30/2004,3868,1,1,45,11,0,0,89.48
092977,0003,0,2/7/2003,4285,1,1,39,72,7,125,221.43
093073,0003,0,4/3/2008,2403,1,2,29,13,0,0,232.69
093283,0003,0,8/29/2009,1890,1,1,55,11,1,0,48.98
093552,0003,0,8/27/2009,1892,1,1,22,88,5,45,71.64
093880,0003,0,12/16/2002,4338,1,1,30,41,0,35,83.96
094192,0003,0,3/13/2004,3885,1,4,41,1,29,45,1.00
094197,0003,0,5/15/2003,4188,1,2,41,4,61,555,266.35
094760,0003,0,1/10/2004,3948,1,1,27,215,8,5,86.53
094877,0003,0,3/26/2010,1681,1,2,30,47,0,5,127.62
095523,0003,0,1/30/2006,3197,1,1,42,41,0,2,0.00
096151,0003,0,12/18/2004,3605,1,2,29,27,0,0,91.27
096251,0003,1,12/16/2012,685,1,1,22,28,0,0,72.37
096460,0003,0,4/26/2012,919,1,1,23,5,1,0,5.82
096547,0003,0,7/25/2007,2656,1,3,26,15,0,0,68.88
096676,0003,0,4/10/2002,4588,1,1,40,30,0,0,0.38
096811,0003,0,1/25/2009,2106,1,1,19,16,1,0,1.51
096828,0003,0,4/28/2012,917,1,2,36,4,0,0,22.09
096838,0003,0,2/10/2011,1360,1,1,24,33,1,180,124.75
096872,0003,0,8/15/2008,2269,1,1,35,3,128,0,186.12
097241,0003,1,7/17/2012,837,1,1,28,13,0,0,0.44
097642,0003,0,1/9/2011,1392,1,1,38,41,0,0,105.81
097756,0003,0,6/5/2012,879,1,1,21,64,0,0,82.29
097774,0003,1,7/1/2006,3045,1,3,40,33,0,0,47.44
098006,0003,0,3/26/2012,950,1,1,19,12,0,15,3.49
098448,0003,0,4/15/2006,3122,1,4,22,286,10,1,285.29
098770,0003,1,2/20/2003,4272,1,2,32,9,0,0,28.37
099333,0003,1,2/6/2009,2094,1,4,32,9,9,0,153.97
099574,0003,1,2/6/2011,1364,1,4,33,27,2,5,79.72
099704,0003,0,3/16/2006,3152,1,1,28,6,0,0,4.78
099707,0003,1,2/11/2010,1724,1,2,23,13,0,1,117.56
099728,0003,1,12/27/2004,3596,1,1,30,47,0,6,7.04
099954,0003,0,5/7/2005,3465,1,1,27,28,23,30,157.14
100180,0003,0,6/21/2003,4151,1,3,40,14,0,0,22.69
100570,0003,0,5/24/2003,4179,1,1,53,48,4,16,46.40
100831,0003,0,5/21/2001,4912,1,3,61,12,0,8,34.42
100900,0003,0,5/10/2012,905,1,1,17,8,1,2,4.49
101432,0003,0,5/9/2007,2733,1,1,26,26,0,2,45.96
101606,0003,0,6/6/2011,1244,1,1,50,20,0,0,59.99
101706,0003,0,1/5/2012,1031,1,2,41,55,0,0,88.60
102114,0003,0,6/10/2003,4162,1,1,23,55,4,32,131.88
102533,0003,0,1/22/2005,3570,1,1,24,15,8,0,6.03
103134,0003,1,10/27/2012,735,1,3,48,76,0,22,102.26
103675,0003,0,4/5/2008,2401,1,2,35,16,0,0,0.00
103810,0003,0,1/8/2008,2489,1,1,20,29,7,0,7.11
103853,0003,0,4/28/2010,1648,1,1,48,0,5,0,8.70
104003,0003,0,4/11/2006,3126,1,1,39,17,0,8,72.64
104229,0003,0,7/6/2007,2675,1,1,33,7,0,0,6.29
104482,0003,0,4/24/2001,4939,1,1,52,34,2,10,160.80
104491,0003,0,2/13/2008,2453,1,1,26,138,0,116,275.00
104867,0003,0,6/15/2001,4887,1,2,51,61,0,0,125.45
104935,0003,0,3/11/2006,3157,1,1,31,12,2,0,64.13
105220,0003,0,4/1/2002,4597,1,1,60,2,0,0,8.98
105997,0003,0,3/20/2006,3148,1,1,30,56,2,22,63.71
106093,0003,1,4/21/2008,2385,1,1,63,246,0,0,0.00
106128,0003,0,1/26/2004,3932,1,1,24,125,11,176,115.71
106174,0003,0,12/29/2012,672,1,2,21,23,0,0,29.19
106177,0003,0,12/14/2009,1783,1,1,36,98,0,0,7.98
106793,0003,0,9/11/2003,4069,1,1,43,28,0,0,36.18
106922,0003,0,12/14/2005,3244,1,2,24,221,0,0,74.62
107025,0003,1,1/5/2008,2492,1,2,57,24,0,0,5.59
107122,0003,0,5/23/2007,2719,1,4,37,1,5,20,8.46
107210,0003,0,2/3/2006,3193,1,2,26,67,0,5,131.92
107369,0003,0,1/15/2002,4673,1,2,34,10,2,0,53.56
107434,0003,0,10/3/2006,2951,1,1,42,19,0,0,144.09
000004,0004,0,3/15/2011,1327,1,1,21,26,2,14,47.75
000308,0004,0,3/18/2011,1324,1,1,28,66,2,3,18.86
000544,0004,0,2/29/2004,3898,1,1,49,15,0,0,56.73
000627,0004,0,2/16/2010,1719,1,2,26,5,0,5,285.11
000694,0004,0,2/28/2012,977,1,1,20,6,1,0,30.98
000736,0004,0,5/24/2002,4544,1,3,40,3,0,0,44.78
000840,0004,0,1/8/2010,1758,1,1,18,64,2,38,43.69
000881,0004,0,10/29/2009,1829,1,2,23,30,0,8,58.94
001333,0004,#NULL!,8/26/2009,1893,1,4,24,0,12,0,0.00
001468,0004,1,3/6/2012,970,1,3,50,22,0,0,42.43
001622,0004,0,5/18/2011,1263,1,4,74,4,11,0,180.95
002058,0004,0,3/25/2009,2047,1,1,45,36,0,0,15.57
002100,0004,0,5/2/2011,1279,1,4,30,22,2,0,70.22
002421,0004,1,2/20/2011,1350,1,1,31,17,0,5,0.55
002480,0004,0,3/5/2013,606,1,1,22,5,0,0,117.74
002537,0004,0,5/27/2009,1984,1,3,25,33,0,1,126.81
002747,0004,0,2/3/2011,1367,1,4,18,34,2,10,155.45
002835,0004,0,4/18/2011,1293,1,1,49,9,0,1,65.32
002890,0004,0,11/7/2003,4012,1,1,25,28,0,0,123.43
002990,0004,0,11/19/2012,712,1,2,40,15,0,0,43.99
003125,0004,0,9/11/2010,1512,1,1,41,24,0,0,0.88
003146,0004,0,2/1/2013,638,1,2,33,15,0,0,52.40
003179,0004,0,2/9/2010,1726,1,1,30,61,0,54,35.58
003269,0004,0,2/28/2005,3533,1,2,49,10,0,0,40.19
003705,0004,0,2/13/2011,1357,1,1,24,147,4,285,273.08
003726,0004,0,7/30/2012,824,1,3,18,39,0,5,51.57
003748,0004,0,1/9/2009,2122,1,4,46,28,12,0,142.25
003755,0004,0,4/6/2010,1670,1,4,50,0,9,25,17.00
004161,0004,0,3/21/2011,1321,1,2,40,29,7,38,67.68
004465,0004,0,8/29/2011,1160,1,3,23,89,4,78,373.43
004811,0004,0,11/19/2012,712,1,2,31,17,0,0,43.99
005614,0004,0,,41944,1,2,51,4,0,12,59.62
006145,0004,1,8/14/2006,3001,1,1,22,23,0,0,0.99
006198,0004,0,3/14/2013,597,1,3,41,3,0,0,2.94
006550,0004,0,5/28/2010,1618,1,3,20,23,0,0,140.30
006573,0004,0,10/27/2011,1101,1,1,27,1,0,0,2.39
006735,0004,0,,41944,1,4,59,33,0,0,209.88
007047,0004,0,2/7/2012,998,1,1,51,29,3,0,24.17
007463,0004,0,12/12/2011,1055,1,1,23,55,1,0,123.67
007593,0004,0,6/22/2011,1228,1,1,25,4,0,0,42.38
007954,0004,0,4/12/2004,3855,1,2,23,13,0,5,31.99
008256,0004,0,3/7/2010,1700,1,1,23,11,3,38,15.05
008322,0004,0,6/10/2010,1605,1,2,53,11,0,30,12.99
008503,0004,0,6/17/2012,867,1,3,30,12,0,0,26.38
008507,0004,0,2/28/2013,611,1,1,23,21,0,0,0.00
009321,0004,0,3/21/2006,3147,1,1,22,21,3,8,26.87
009367,0004,1,1/27/2012,1009,1,2,29,37,0,0,80.46
009409,0004,0,5/10/2012,905,1,1,19,24,3,0,62.45
009516,0004,1,12/16/2011,1051,1,2,53,32,0,0,12.57
009663,0004,0,12/5/2011,1062,1,1,34,10,16,10,4.79
010372,0004,1,3/14/2010,1693,1,1,60,32,0,25,0.00
011448,0004,0,3/31/2011,1311,1,4,19,16,8,54,7.54
011675,0004,0,9/29/2011,1129,1,1,17,3,0,0,22.21
011950,0004,0,6/29/2010,1586,1,4,39,26,5,5,189.56
012602,0004,1,3/17/2011,1325,1,1,20,60,0,25,11.47
012876,0004,0,2/8/2003,4284,1,2,26,13,1,0,55.97
012982,0004,0,2/16/2011,1354,1,4,30,97,0,78,226.36
013077,0004,0,7/24/2012,830,1,2,26,42,2,20,9.09
013749,0004,0,10/9/2011,1119,1,1,45,93,0,40,105.33
013759,0004,0,3/24/2011,1318,1,1,33,9,0,0,8.38
014316,0004,0,1/27/2011,1374,1,2,46,58,0,25,13.61
014789,0004,0,2/19/2012,986,1,2,35,6,0,0,51.68
015402,0004,0,6/3/2010,1612,1,1,24,24,15,38,67.52
015480,0004,1,12/5/2011,1062,1,1,25,28,0,0,97.67
015492,0004,0,12/22/2012,679,1,3,29,19,0,0,131.51
015588,0004,0,2/10/2013,629,1,1,31,13,0,0,39.78
015700,0004,0,1/24/2010,1742,1,1,58,31,0,15,87.25
015732,0004,0,12/16/2012,685,1,1,47,63,0,20,73.49
016050,0004,1,11/17/2010,1445,1,2,30,22,0,0,0.00
016066,0004,0,3/11/2010,1696,1,1,42,44,24,130,30.63
016340,0004,0,7/5/2009,1945,1,1,28,22,1,0,57.98
016662,0004,0,3/10/2011,1332,1,4,52,17,2,5,45.32
017040,0004,1,4/16/2010,1660,1,3,31,47,0,15,10.54
017099,0004,0,5/17/2010,1629,1,3,43,3,1,20,27.98
017187,0004,1,3/8/2012,968,1,3,17,67,0,40,106.18
017292,0004,0,7/24/2010,1561,1,4,49,0,20,30,87.96
017306,0004,0,4/1/2013,579,1,2,62,12,0,10,29.99
017338,0004,1,3/4/2013,607,1,2,42,9,0,0,10.18
017963,0004,0,7/20/2010,1565,1,3,58,63,0,0,483.39
018350,0004,0,2/4/2008,2462,1,2,23,28,0,28,56.24
018662,0004,0,10/12/2010,1481,1,3,41,64,1,0,65.24
018730,0004,0,4/3/2003,4230,1,4,47,29,26,50,130.34
018737,0004,0,3/19/2008,2418,1,1,25,13,7,82,86.95
019109,0004,0,1/10/2010,1756,1,1,19,105,1,270,178.84
019189,0004,0,4/3/2003,4230,1,2,29,86,2,18,299.10
019473,0004,0,2/8/2010,1727,1,1,51,68,1,8,28.97
019672,0004,0,8/26/2010,1528,1,1,26,32,4,25,160.80
019726,0004,0,10/19/2011,1109,1,4,18,23,46,140,238.87
019770,0004,0,3/2/2011,1340,1,1,24,58,0,5,116.47
019983,0004,0,5/8/2010,1638,1,2,38,0,5,28,29.99
020993,0004,0,5/21/2010,1625,1,3,33,34,5,82,73.19
021032,0004,0,4/23/2012,922,1,3,46,14,0,0,80.41
021275,0004,1,9/27/2010,1496,1,1,48,61,0,0,0.00
021415,0004,0,11/27/2009,1800,1,1,30,92,5,61,190.62
021602,0004,0,12/14/2012,687,1,1,21,31,2,10,65.71
021639,0004,1,4/16/2011,1295,1,2,60,10,46,20,39.99
022015,0004,0,4/11/2005,3491,1,2,49,51,0,40,68.44
022336,0004,0,5/15/2011,1266,1,4,20,88,0,65,276.29
022990,0004,0,3/23/2010,1684,1,4,22,24,0,30,96.97
023562,0004,0,7/19/2010,1566,1,4,46,0,57,5,1.00
024721,0004,0,3/31/2009,2041,1,2,26,23,0,0,39.99
024807,0004,0,3/25/2012,951,1,4,49,1,11,0,58.52
024826,0004,0,8/26/2010,1528,1,1,27,4,3,0,47.29
027429,0004,0,12/5/2010,1427,1,3,17,5,1,10,8.98
027675,0004,0,8/13/2010,1541,1,2,22,16,0,10,102.36
028363,0004,0,10/28/2010,1465,1,2,31,204,2,79,276.59
028511,0004,1,5/4/2011,1277,1,3,47,30,0,22,151.50
028738,0004,0,1/31/2012,1005,1,4,42,41,2,0,83.50
029083,0004,0,4/2/2011,1309,1,2,52,49,0,8,12.98
029436,0004,1,6/10/2010,1605,1,2,26,7,0,0,0.44
029620,0004,0,2/26/2012,979,1,1,46,10,1,0,8.87
029809,0004,1,6/15/2012,869,1,3,19,50,2,30,64.35
029840,0004,0,5/31/2011,1250,1,2,23,39,1,30,116.84
029841,0004,1,11/17/2011,1080,1,2,30,15,2,0,64.48
029876,0004,0,1/30/2011,1371,1,4,39,55,2,0,78.98
030092,0004,0,3/1/2009,2071,1,4,36,6,0,0,14.05
030173,0004,0,3/4/2013,607,1,1,20,9,1,0,41.09
030566,0004,0,4/19/2010,1657,1,4,31,5,1,10,47.98
031199,0004,0,3/30/2012,946,1,4,15,12,10,0,45.50
031378,0004,1,3/13/2013,598,1,4,56,17,0,0,98.72
032142,0004,0,2/15/2012,990,1,1,35,5,1,0,30.88
032595,0004,0,2/24/2009,2076,1,1,23,61,2,42,169.60
032935,0004,0,8/23/2010,1531,1,1,25,56,0,39,24.01
033125,0004,0,3/10/2012,966,1,2,27,23,0,0,69.98
033223,0004,1,5/7/2011,1274,1,3,52,130,0,230,529.43
033594,0004,0,8/20/2012,803,1,3,34,42,5,45,35.95
033679,0004,0,3/6/2010,1701,1,3,40,118,0,30,98.98
033740,0004,0,3/17/2010,1690,1,4,44,9,7,0,230.27
033962,0004,0,10/20/2011,1108,1,1,64,3,1,0,2.39
033965,0004,0,7/9/2011,1211,1,2,39,189,0,8,168.77
034003,0004,0,2/18/2013,621,1,1,50,18,0,90,208.50
034225,0004,0,1/14/2010,1752,1,4,39,0,6,0,23.98
034281,0004,0,4/8/2012,937,1,3,16,20,0,0,59.98
034535,0004,0,4/7/2010,1669,1,4,38,0,9,0,30.78
034602,0004,1,12/22/2010,1410,1,2,19,25,5,0,0.00
034829,0004,0,3/11/2012,965,1,1,19,21,0,0,37.49
035182,0004,0,3/13/2008,2424,1,2,47,54,0,90,158.76
035234,0004,0,2/5/2013,634,1,1,19,19,0,5,37.41
035295,0004,0,7/13/2010,1572,1,1,21,26,0,11,9.75
035501,0004,0,10/29/2009,1829,1,2,25,19,0,8,72.69
035568,0004,0,5/18/2010,1628,1,4,23,205,4,76,247.88
035671,0004,1,6/20/2011,1230,1,2,32,12,0,0,0.00
035798,0004,0,3/28/2009,2044,1,2,42,35,0,5,75.78
035963,0004,1,4/19/2012,926,1,2,47,10,0,0,16.74
036254,0004,0,11/20/2012,711,1,1,45,11,0,0,0.00
036517,0004,0,1/13/2013,657,1,1,28,29,0,75,22.07
037210,0004,0,6/4/2009,1976,1,4,40,0,55,95,77.97
037810,0004,0,,41944,1,1,43,6,0,0,2.39
038624,0004,0,1/15/2013,655,1,3,46,16,0,0,56.98
038909,0004,1,1/2/2010,1764,1,1,25,4,2,5,33.98
039775,0004,0,2/23/2010,1712,1,3,35,5,0,0,49.99
039926,0004,0,11/19/2010,1443,1,4,48,2,3,8,0.00
039931,0004,1,2/19/2012,986,1,1,19,6,0,0,0.00
040077,0004,0,6/27/2011,1223,1,3,26,1,0,0,11.98
040100,0004,0,4/30/2011,1281,1,4,49,3,6,5,24.37
040121,0004,0,3/22/2010,1685,1,1,38,16,0,0,0.00
040613,0004,1,8/24/2011,1165,1,2,25,159,4,1,38.25
040710,0004,0,6/11/2010,1604,1,4,28,2,4,0,2.69
040714,0004,0,3/24/2011,1318,1,1,40,17,7,68,15.28
041112,0004,0,4/29/2011,1282,1,1,46,16,0,0,36.12
041369,0004,0,6/4/2010,1611,1,4,46,49,0,0,116.84
041458,0004,0,5/6/2010,1640,1,4,47,66,18,60,264.04
041866,0004,0,2/15/2011,1355,1,2,28,56,0,22,89.08
041967,0004,0,6/29/2010,1586,1,4,45,0,2,5,0.00
042154,0004,1,3/23/2010,1684,1,3,21,89,0,1,91.21
042558,0004,0,6/4/2011,1246,1,4,34,23,5,5,57.57
043008,0004,0,,41944,1,3,43,44,0,0,23.99
043070,0004,0,7/26/2011,1194,1,1,53,17,0,0,70.23
043073,0004,0,1/14/2013,656,1,2,18,16,0,15,74.99
043146,0004,1,2/24/2013,615,1,3,48,23,0,0,27.86
043322,0004,1,2/29/2012,976,1,1,18,2,0,0,5.34
043701,0004,0,1/7/2013,663,1,3,28,52,0,0,20.01
